fold,weekly_k,yearly_k,n_fourier_terms,validation_RMSE,validation_MAE,validation_MAPE,AICc,specification,status
"Train 2021, validate 2022",1,2,6,9.267111024787297,7.859976277721708,27.629635517786326,2158.617722344314,"Series: train_y  Regression with ARIMA(1,0,2) errors   Coefficients:          ar1      ma1      ma2  intercept  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.8486  -0.1334  -0.2557    37.7297     2.2550    -2.4863     4.6366    -6.4228     0.4193      1.747 s.e.  0.0533   0.0775   0.0680     0.9426     0.4249     0.4252     1.3394     1.3136     1.3204      1.295  sigma^2 = 20.9:  log likelihood = -1067.93 AIC=2157.87   AICc=2158.62   BIC=2200.77",ok
"Train 2021, validate 2022",2,2,8,9.087316027445656,7.725851146583031,27.16472819143117,2114.4257939340087,"Series: train_y  Regression with ARIMA(1,0,0) errors   Coefficients:          ar1  intercept  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6  fourier_7       0.7265    37.7142     2.2663    -2.4803    -1.8312     0.1075     4.6269    -6.4523     0.4003 s.e.  0.0362     0.8068     0.3984     0.3986     0.2310     0.2312     1.1464     1.1324     1.1415       fourier_8          1.7215 s.e.     1.1277  sigma^2 = 18.51:  log likelihood = -1045.84 AIC=2113.68   AICc=2114.43   BIC=2156.58",ok
"Train 2021, validate 2022",3,2,10,9.07304480585746,7.714172609761552,27.126223487032412,2105.322302658909,"Series: train_y  Regression with ARIMA(1,0,0) errors   Coefficients:          ar1  intercept  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6  fourier_7       0.7365     37.721     2.2656    -2.4813    -1.8316     0.1076     0.5884     0.3312     4.6274 s.e.  0.0356      0.822     0.3905     0.3907     0.2257     0.2258     0.1823     0.1822     1.1681       fourier_8  fourier_9  fourier_10         -6.4388     0.4015      1.7349 s.e.     1.1531     1.1627      1.1479  sigma^2 = 17.95:  log likelihood = -1039.14 AIC=2104.29   AICc=2105.32   BIC=2154.98",ok
"Train 2021, validate 2022",1,4,10,9.149212190653683,7.811044024920409,27.24757764382621,2161.3970373036723,"Series: train_y  Regression with ARIMA(1,0,2) errors   Coefficients:          ar1      ma1      ma2  intercept  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.8016  -0.1016  -0.2367    37.6934     2.2587    -2.4824     4.6301    -6.4947     0.4065     1.6768 s.e.  0.0689   0.0893   0.0734     0.7756     0.4281     0.4284     1.1009     1.0871     1.0924     1.0787       fourier_7  fourier_8  fourier_9  fourier_10          2.0926     1.2789     0.1364     -1.4066 s.e.     1.0788     1.0652     1.0607      1.0473  sigma^2 = 20.8:  log likelihood = -1065.01 AIC=2160.02   AICc=2161.4   BIC=2218.52",ok
"Train 2021, validate 2022",2,4,12,8.988567684574363,7.708443225479462,26.88058347487251,2116.0747153959373,"Series: train_y  Regression with ARIMA(1,0,0) errors   Coefficients:          ar1  intercept  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6  fourier_7       0.6946    37.6974     2.2690    -2.4766    -1.8293     0.1073     4.6255    -6.4860     0.3976 s.e.  0.0380     0.7167     0.3964     0.3966     0.2326     0.2328     1.0175     1.0073     1.0142       fourier_8  fourier_9  fourier_10  fourier_11  fourier_12          1.6882     2.0798      1.2946      0.1205     -1.3852 s.e.     1.0041     1.0087      0.9987      1.0012      0.9914  sigma^2 = 18.37:  log likelihood = -1042.35 AIC=2114.7   AICc=2116.07   BIC=2173.2",ok
"Train 2021, validate 2022",3,4,14,8.95599863494064,7.674641818748714,26.761801100778953,2107.201268755277,"Series: train_y  Regression with ARIMA(1,0,1) errors   Coefficients:          ar1     ma1  intercept  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.6422  0.1237    37.6805     2.2743    -2.4725    -1.8279     0.1062     0.5891     0.3293 s.e.  0.0599  0.0800     0.6735     0.4212     0.4214     0.2293     0.2293     0.1694     0.1694       fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13  fourier_14          4.6242    -6.5196     0.3951      1.6548      2.0761      1.2616      0.1157     -1.4178 s.e.     0.9556     0.9479     0.9535      0.9458      0.9499      0.9423      0.9450      0.9375  sigma^2 = 17.76:  log likelihood = -1034.61 AIC=2105.22   AICc=2107.2   BIC=2175.42",ok
"Train 2021, validate 2022",1,6,14,9.476481857839191,8.016947802798267,27.720907673762245,2155.5826571397797,"Series: train_y  Regression with ARIMA(1,0,2) errors   Coefficients:          ar1      ma1      ma2  intercept  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.6716  -0.0121  -0.1905    37.6329     2.2604    -2.4760     4.6232    -6.6147     0.3930     1.5599 s.e.  0.1135   0.1265   0.0888     0.5555     0.4362     0.4365     0.7874     0.7826     0.7857     0.7809       fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13  fourier_14          2.0730     1.1671     0.1115     -1.5117      0.0385      2.9296     -0.6439     -1.6098 s.e.     0.7828     0.7781     0.7789      0.7742      0.7740      0.7693      0.7682      0.7635  sigma^2 = 20.23:  log likelihood = -1057.69 AIC=2153.38   AICc=2155.58   BIC=2227.48",ok
"Train 2021, validate 2022",2,6,16,9.346725185148928,7.9748542375096845,27.51064978137361,2110.216360503319,"Series: train_y  Regression with ARIMA(1,0,0) errors   Coefficients:          ar1  intercept  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6  fourier_7       0.6322    37.6615     2.2680    -2.4742    -1.8281     0.1074     4.6236    -6.5576     0.3938 s.e.  0.0409     0.5840     0.3901     0.3903     0.2354     0.2356     0.8284     0.8222     0.8267       fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13  fourier_14  fourier_15          1.6170     2.0741      1.2242       0.113     -1.4547      0.0404      2.9866     -0.6416 s.e.     0.8206     0.8239      0.8178       0.820      0.8140      0.8151      0.8092      0.8092       fourier_16          -1.5528 s.e.      0.8034  sigma^2 = 17.86:  log likelihood = -1035.01 AIC=2108.01   AICc=2110.22   BIC=2182.11",ok
"Train 2021, validate 2022",3,6,18,9.314602008085807,7.947935824757106,27.412178706244998,2099.5424584331577,"Series: train_y  Regression with ARIMA(1,0,1) errors   Coefficients:          ar1     ma1  intercept  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.5382  0.1815    37.6450     2.2747    -2.4683    -1.8254     0.1056     0.5895     0.3282 s.e.  0.0695  0.0817     0.5371     0.4247     0.4249     0.2352     0.2352     0.1667     0.1667       fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13  fourier_14          4.6225    -6.5905     0.3917      1.5842       2.071      1.1917      0.1089     -1.4868 s.e.     0.7614     0.7572     0.7605      0.7563       0.759      0.7548      0.7569      0.7528       fourier_15  fourier_16  fourier_17  fourier_18           0.0353      2.9550     -0.6475     -1.5839 s.e.      0.7543      0.7502      0.7512      0.7471  sigma^2 = 17.17:  log likelihood = -1026.29 AIC=2096.58   AICc=2099.54   BIC=2182.38",ok
"Train 2021, validate 2022",1,8,18,9.875855527551371,8.383234698622829,28.809492963935114,2144.330970910701,"Series: train_y  Regression with ARIMA(1,0,1) errors   Coefficients:          ar1     ma1  intercept  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.2498  0.3557    37.6040     2.2724    -2.4578     4.6210    -6.6725     0.3887     1.5025 s.e.  0.0969  0.0955     0.4041     0.4575     0.4578     0.5721     0.5708     0.5720     0.5707       fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13  fourier_14          2.0665     1.1102     0.1029     -1.5678      0.0279      2.8745     -0.6564     -1.6637 s.e.     0.5717     0.5704     0.5713      0.5700      0.5708      0.5695      0.5702      0.5689       fourier_15  fourier_16  fourier_17  fourier_18          -1.1921     -2.1756     -0.1279      1.4974 s.e.      0.5695      0.5683      0.5687      0.5675  sigma^2 = 19.43:  log likelihood = -1048.69 AIC=2141.37   AICc=2144.33   BIC=2227.17",ok
"Train 2021, validate 2022",2,8,20,9.732199159711,8.301370194919745,28.46962367446691,2101.0787143453726,"Series: train_y  Regression with ARIMA(2,0,0) errors   Coefficients:          ar1      ar2  intercept  fourier_1  fourier_2  fourier_3  fourier_4  fourier_5  fourier_6       0.6334  -0.1206    37.6264     2.2838    -2.4536    -1.8188     0.1049     4.6214    -6.6276 s.e.  0.0520   0.0528     0.4298     0.4291     0.4294     0.2412     0.2413     0.6085     0.6069       fourier_7  fourier_8  fourier_9  fourier_10  fourier_11  fourier_12  fourier_13  fourier_14          0.3894     1.5474     2.0676      1.1552      0.1044     -1.5229      0.0298      2.9195 s.e.     0.6083     0.6066     0.6078      0.6062      0.6072      0.6056      0.6065      0.6048       fourier_15  fourier_16  fourier_17  fourier_18  fourier_19  fourier_20          -0.6541     -1.6188     -1.1894     -2.1307     -0.1249      1.5422 s.e.      0.6055      0.6039      0.6044      0.6028      0.6031      0.6015  sigma^2 = 17.14:  log likelihood = -1024.77 AIC=2097.55   AICc=2101.08   BIC=2191.15",ok
