model_family,forecasting_setup,model,lag,acf,n,ci,significance
Baseline,Full test-year benchmark,TSLM,1,0.7912842659438534,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,2,0.6355604477155952,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,3,0.5894454275374723,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,4,0.5269544739620091,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,5,0.44073656212112755,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,6,0.4041264205896141,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,7,0.4129338429877797,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,8,0.39419582943230563,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,9,0.3563244528508053,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,10,0.33911813481069536,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,11,0.3364908933199118,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,12,0.29294405814957153,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,13,0.27350430510434925,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,14,0.2906582163659626,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,15,0.2896542734582945,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,16,0.3006765975646443,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,17,0.30713886441245053,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,18,0.3330820824157506,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,19,0.32844733148369754,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,20,0.33416683575043005,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,21,0.35528859307044425,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,22,0.32637428461305057,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,23,0.29888700798615475,365,0.10259108882768189,Significant
Baseline,Full test-year benchmark,TSLM,24,0.29195500649140466,365,0.10259108882768189,Significant
