variable,coefficient,abs_coefficient,source
weekday.L,8.227848937957308,8.227848937957308,Elastic Net coefficient
weekday^4,-3.6243775900623545,3.6243775900623545,Elastic Net coefficient
monthMay,1.8213519620990077,1.8213519620990077,Elastic Net coefficient
monthApr,1.0758100548238774,1.0758100548238774,Elastic Net coefficient
weekday^6,-0.7974019547403215,0.7974019547403215,Elastic Net coefficient
lag_1,0.7254012539298702,0.7254012539298702,Elastic Net coefficient
weekday.Q,-0.6949329538831149,0.6949329538831149,Elastic Net coefficient
monthMar,0.6149951890678521,0.6149951890678521,Elastic Net coefficient
weekday.C,0.4992016275194539,0.4992016275194539,Elastic Net coefficient
weekday^5,-0.3625581860853285,0.3625581860853285,Elastic Net coefficient
sin_day,0.33323652368853596,0.33323652368853596,Elastic Net coefficient
monthOct,0.3170836163288894,0.3170836163288894,Elastic Net coefficient
monthJul,-0.3090732469989762,0.3090732469989762,Elastic Net coefficient
cos_day,-0.2951062929946483,0.2951062929946483,Elastic Net coefficient
monthAug,0.2881762956248309,0.2881762956248309,Elastic Net coefficient
rolling_7_mean,0.18583214319665822,0.18583214319665822,Elastic Net coefficient
lag_2,-0.14890836328520168,0.14890836328520168,Elastic Net coefficient
monthDec,-0.14519569693942447,0.14519569693942447,Elastic Net coefficient
rolling_7_sd,-0.1096982317078757,0.1096982317078757,Elastic Net coefficient
rolling_30_mean,0.08967512998301022,0.08967512998301022,Elastic Net coefficient
lag_14,0.03175764264322662,0.03175764264322662,Elastic Net coefficient
lag_30,0.012189017154633306,0.012189017154633306,Elastic Net coefficient
trend,0.0013747616800212053,0.0013747616800212053,Elastic Net coefficient
