date,actual,model,period,forecast,error,abs_error,pct_error
2025-01-01,28.859294836808203,Lagged linear regression,Test,27.862384966655256,0.9969098701529475,0.9969098701529475,3.4543805584655245
2025-01-02,33.983246678220674,Lagged linear regression,Test,30.522736348443058,3.460510329777616,3.460510329777616,10.182989172707275
2025-01-03,46.99711652426189,Lagged linear regression,Test,35.71596026285645,11.281156261405442,11.281156261405442,24.00393278507126
2025-01-04,36.48707262338055,Lagged linear regression,Test,49.779708218685144,-13.292635595304596,13.292635595304596,36.431082681011816
2025-01-05,39.86408639106409,Lagged linear regression,Test,37.758015579040205,2.106070812023887,2.106070812023887,5.283128255752483
2025-01-06,46.99033078880406,Lagged linear regression,Test,33.16980579459637,13.820524994207688,13.820524994207688,29.411423078342263
2025-01-07,40.55820242080866,Lagged linear regression,Test,44.646207696832846,-4.088005276024184,4.088005276024184,10.079355178539187
2025-01-08,38.662414494361265,Lagged linear regression,Test,38.0928217417038,0.5695927526574636,0.5695927526574636,1.4732467180510314
2025-01-09,38.2069654078816,Lagged linear regression,Test,38.84954844204687,-0.6425830341652699,0.6425830341652699,1.681847870683583
2025-01-10,46.28516506987247,Lagged linear regression,Test,40.13804727247151,6.147117797400959,6.147117797400959,13.280967645078546
2025-01-11,39.15182619768857,Lagged linear regression,Test,51.14234817272932,-11.99052197504075,11.99052197504075,30.62570290973717
2025-01-12,55.702100621907306,Lagged linear regression,Test,42.19539474280352,13.506705879103784,13.506705879103784,24.24810864994861
2025-01-13,40.13026259504064,Lagged linear regression,Test,46.18883115133767,-6.058568556297033,6.058568556297033,15.09725619648888
2025-01-14,37.79069767441859,Lagged linear regression,Test,37.04512366645881,0.7455740079597817,0.7455740079597817,1.9729035287551155
2025-01-15,26.752365648991248,Lagged linear regression,Test,37.04781083126399,-10.29544518227274,10.29544518227274,38.484242168919934
2025-01-16,28.004024042379797,Lagged linear regression,Test,29.292744869125567,-1.2887208267457702,1.2887208267457702,4.6019130136279305
2025-01-17,35.1764361302482,Lagged linear regression,Test,33.68704246726362,1.4893936629845754,1.4893936629845754,4.234066400216839
2025-01-18,40.97913845415431,Lagged linear regression,Test,43.06667644671018,-2.0875379925558732,2.0875379925558732,5.094148074614406
2025-01-19,32.927906229929356,Lagged linear regression,Test,44.438137437587756,-11.5102312076584,11.5102312076584,34.95585515606315
2025-01-20,21.786288663649614,Lagged linear regression,Test,28.075363905101103,-6.2890752414514886,6.2890752414514886,28.867125275654683
2025-01-21,23.7448504333582,Lagged linear regression,Test,25.989394426612648,-2.2445439932544495,2.2445439932544495,9.45276113468872
2025-01-22,23.895587383895077,Lagged linear regression,Test,28.122307239483753,-4.2267198555886765,4.2267198555886765,17.688286074262233
2025-01-23,29.922319323068393,Lagged linear regression,Test,28.246139556845222,1.6761797662231714,1.6761797662231714,5.601770865839711
2025-01-24,32.14623706011678,Lagged linear regression,Test,34.508808541396576,-2.3625714812797938,2.3625714812797938,7.349449569669822
2025-01-25,35.47392254840723,Lagged linear regression,Test,39.170413135010385,-3.6964905866031543,3.6964905866031543,10.420304046046708
2025-01-26,48.748572934047594,Lagged linear regression,Test,40.017286039566514,8.73128689448108,8.73128689448108,17.910856398388773
2025-01-27,40.314434303013954,Lagged linear regression,Test,39.06476282222219,1.2496714807917613,1.2496714807917613,3.0998115250704
2025-01-28,45.09451078954806,Lagged linear regression,Test,36.31541348826969,8.77909730127837,8.77909730127837,19.468217190002594
2025-01-29,35.581240140759625,Lagged linear regression,Test,40.65401465216563,-5.072774511406003,5.072774511406003,14.25687944360026
2025-01-30,34.54309211983404,Lagged linear regression,Test,33.97617376129036,0.5669183585436812,0.5669183585436812,1.6411916934852702
2025-01-31,31.57414514750822,Lagged linear regression,Test,37.089596981917275,-5.515451834409056,5.515451834409056,17.46825387874144
2025-02-01,37.88281542493448,Lagged linear regression,Test,40.68610378182804,-2.8032883568935603,2.8032883568935603,7.399894452006424
2025-02-02,45.81435927990806,Lagged linear regression,Test,43.91136962970283,1.9029896502052281,1.9029896502052281,4.1536969633880405
2025-02-03,31.590679975578233,Lagged linear regression,Test,38.37157431352857,-6.780894337950336,6.780894337950336,21.464857176839605
2025-02-04,36.36481446817088,Lagged linear regression,Test,31.591455739722754,4.773358728448123,4.773358728448123,13.126311238645568
2025-02-05,35.228183672034326,Lagged linear regression,Test,36.857042606576584,-1.628858934542258,1.628858934542258,4.623738055037216
2025-02-06,30.533011317363595,Lagged linear regression,Test,35.807965518916205,-5.27495420155261,5.27495420155261,17.276233080072373
2025-02-07,30.585562543255204,Lagged linear regression,Test,33.877245287994896,-3.291682744739692,3.291682744739692,10.762210896348483
2025-02-08,37.71872504174835,Lagged linear regression,Test,39.53221387899805,-1.8134888372497002,1.8134888372497002,4.807927190652574
2025-02-09,39.04062335132503,Lagged linear regression,Test,43.53559319892366,-4.494969847598625,4.494969847598625,11.513570895496644
2025-02-10,27.01002378013907,Lagged linear regression,Test,33.26296407670919,-6.25294029657012,6.25294029657012,23.150443507450795
2025-02-11,22.984204964154124,Lagged linear regression,Test,29.836691540150547,-6.852486575996423,6.852486575996423,29.813894309955355
2025-02-12,23.460060389788648,Lagged linear regression,Test,26.74723910840983,-3.287178718621181,3.287178718621181,14.011808426767631
2025-02-13,23.699950929032788,Lagged linear regression,Test,27.994624328273076,-4.294673399240288,4.294673399240288,18.121022326587394
2025-02-14,29.992376619968255,Lagged linear regression,Test,28.93938800413192,1.052988615836334,1.052988615836334,3.5108542053158858
2025-02-15,42.355131884652174,Lagged linear regression,Test,38.491049988406104,3.86408189624607,3.86408189624607,9.123054808964625
2025-02-16,45.32495401594115,Lagged linear regression,Test,45.10415200810729,0.22080200783386061,0.22080200783386061,0.4871532969591161
