model,alpha,lambda,mtry,min_node_size,num_trees,validation_RMSE,validation_MAE,validation_MAPE
Ridge regression,0,0.8073703343815187,NA,NA,NA,5.71982977980446,4.446816131708127,10.135783435245264
Lasso regression,1,0.030396974812549844,NA,NA,NA,5.599657596379811,4.292942623525827,9.700477857025916
Elastic Net,0.75,0.040529299750066465,NA,NA,NA,5.600072408292814,4.293489578662959,9.703054427194814
Random Forest,NA,NA,8,20,500,6.685638214165724,5.162340095028386,11.34086010799529
Random Forest,NA,NA,8,10,500,6.748699527144349,5.213456507620543,11.43348090495542
Random Forest,NA,NA,8,5,500,6.790523988574097,5.254455214759646,11.528317482744653
Random Forest,NA,NA,5,10,500,6.915933120172202,5.358016717996418,11.75074342633924
Random Forest,NA,NA,5,20,500,6.937816856951292,5.377986135859835,11.807695207328948
Random Forest,NA,NA,4,10,500,6.939239368289533,5.363452436059981,11.779686081670219
Random Forest,NA,NA,5,5,500,6.972129736857632,5.405115196058744,11.815570265419852
Random Forest,NA,NA,4,20,500,6.984797169362108,5.4131435436421675,11.87880077511336
Random Forest,NA,NA,4,5,500,7.025803741343858,5.46229163408859,11.944093975802549
Random Forest,NA,NA,3,5,500,7.111904459313253,5.51675097391743,12.083375288201967
Random Forest,NA,NA,3,10,500,7.18139691765312,5.575807643344672,12.213423864765579
Random Forest,NA,NA,3,20,500,7.225238294132746,5.633134372816498,12.340847410525186
